Rainfall,Temperature,Humidity
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
80.2,40,70
20.2,21,20
62.4,30,40
60.1,32,38
53,28,35
42.3,36,28
51,33,30
67,35,53
71.5,38,61
